WISEA J085416.75+502631.9,133.56983,50.44221,0.095706,409.9768522443004
WISEA J085841.75+104121.9,134.67398,10.68944,0.148029,656.063579619026
WISEA J095528.88+383827.2,148.87036,38.6409,0.061109,255.5850409810598
WISEA J095833.20-005118.6,149.63834,-0.85518,0.085965,365.8206111386829
WISEA J101143.92+325943.5,152.93301,32.99542,0.129966,569.4408872085976
WISEA J101348.45+002014.7,153.45188,0.33743,0.117145,509.01529401867543
WISEA J102325.56+324348.4,155.85654,32.73011,0.12701,555.4306067755298
WISEA J104813.05+442710.5,162.05441,44.45292,0.139668,615.7526989917999
WISEA J105653.36+331945.6,164.22236,33.32936,0.051178,212.53706523131382
WISEA J110821.80+591852.0,167.09086,59.31445,0.085756,364.87904744273635
WISEA J110832.01+195128.1,167.13338,19.85782,0.10312,443.93953338236315
WISEA J110957.13+020138.6,167.48806,2.0274,0.063379,265.5053237690462
WISEA J111042.35+030033.9,167.67649,3.00943,0.107676,464.9609207769998
WISEA J111054.89+012936.0,167.72873,1.49334,0.129501,567.2338623907029
WISEA J111201.79+275053.8,168.0075,27.84829,0.047406,196.337669494024
WISEA J111333.36+165712.0,168.38901,16.95334,0.05349,222.5075224620185
WISEA J111803.15+062657.7,169.51316,6.44939,0.127735,558.8624804562475
WISEA J112659.53+294442.9,171.74806,29.74526,0.101838,438.0450417005654
WISEA J113630.60+135848.9,174.12754,13.98027,0.081689,346.6059419170791
WISEA J114048.00+445208.3,175.20003,44.869,0.069248,291.2917477506346
WISEA J114249.91+102700.4,175.708,10.45013,0.11858,515.7342889789377
WISEA J114610.03-022619.0,176.54183,-2.43864,0.122484,534.0702304434101
WISEA J115249.33+190300.2,178.20558,19.05008,0.096677,414.40751062085764
WISEA J115548.52+110158.8,178.95217,11.033,0.104796,451.6592911732318
WISEA J120320.66+131931.4,180.83608,13.32541,0.058371,243.65926580464372
WISEA J120357.34+280856.8,180.98894,28.14913,0.069253,291.31380061214855
WISEA J120802.08+230430.6,182.00871,23.07517,0.073623,310.64281888058247
WISEA J121311.38+650818.6,183.29742,65.13852,0.135591,596.2303556967914
WISEA J121527.45+000109.1,183.8644,0.01921,0.100224,430.6369892227493
WISEA J123538.60+050221.5,188.91084,5.03932,0.065225,273.5946235697859
WISEA J125049.47+074618.0,192.70613,7.77169,0.050303,208.77181123960264
WISEA J131235.91+500416.1,198.14964,50.07114,0.115746,502.4756400454389
WISEA J131515.93+213403.4,198.81638,21.56763,0.070119,295.1355217544871
WISEA J132323.34-015941.8,200.84726,-1.99497,0.350287,1734.7623760215072
WISEA J133804.62+264209.4,204.51833,26.70171,0.106463,459.3529654270349
WISEA J142039.61+495906.7,215.16506,49.9852,0.063237,264.8838854944378
WISEA J143132.85+435807.1,217.88688,43.96866,0.095973,411.1946455832524
WISEA J145217.27+511050.2,223.07196,51.18063,0.075802,320.3216046760254
WISEA J145801.58+274251.7,224.50661,27.71438,0.118376,514.7784326292119
WISEA J150053.91+382349.6,225.22466,38.39712,0.145294,642.8367929091396
WISEA J150452.34+321414.9,226.2181,32.23749,0.112606,487.83649029564396
WISEA J151659.17+051751.2,229.24657,5.29756,0.051163,212.47248020605699
WISEA J153217.19+453225.4,233.07164,45.54041,0.071174,299.79712793860494
WISEA J153217.19+453225.4,233.07164,45.54041,0.071174,299.79712793860494
WISEA J155205.93+043317.1,238.02474,4.55477,0.08029,340.341842889718
WISEA J155619.29+094855.4,239.08039,9.81541,0.067965,285.63773159096894
WISEA J160436.21+500958.2,241.1509,50.16619,0.14639,648.1324602093139
WISEA J160636.72+342754.5,241.653,34.46515,0.054652,227.53042992513832
WISEA J161006.41+210735.3,242.52672,21.12648,0.13718,603.828638996188
WISEA J162939.58+240856.0,247.41495,24.1489,0.059347,247.90538977315663
WISEA J163316.04+262716.4,248.31684,26.45456,0.071163,299.7484905910983
WISEA J165206.14+310707.5,253.02561,31.11876,0.074995,316.73387374007916
WISEA J225420.98-005134.2,343.58745,-0.85951,0.079526,336.92567720736474
WISEA J230442.83-093345.5,346.17846,-9.56264,0.032187,131.83155794775286
SDSSJ092712.65+294344.0,141.80276,29.72895,0.697219,3956.1879143694705
SDSS J153636.22+044127.0,234.15093,4.69084,0.388938,1961.3521397605903
SDSS J0927+2943,141.80276,29.72895,0.697219,3956.1879143694705
PKS 2155-304,329.71694,-30.22559,0.1167,506.9339772587921
4C+37.11,61.45526,38.05895,0.055046,229.23534010722466
NGC 1128,44.42333,6.02606,0.023153,94.19483882623724
NGC 6240,253.24529,2.40093,0.024307,98.97516346946776
UGC 08850,209.01196,18.37208,0.050802,210.91853174331
SDSS J153636.22+044127.0,234.15093,4.69084,0.388938,1961.3521397605903
